"X.1","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
229,"PTMS",5.93046058845439e-113,1.75623408620578,0.048,0.015,1.9415141874482e-108,"CD8+ Cytotoxic T","PTMS"
230,"FYN",4.74112748731559e-112,1.02564235904043,0.142,0.079,1.55215031679738e-107,"CD8+ Cytotoxic T","FYN"
231,"UBC",6.15239460067098e-112,0.280359207774321,0.811,0.756,2.01417094436766e-107,"CD8+ Cytotoxic T","UBC"
232,"MYL12B",1.34729613961815e-111,0.409550873442108,0.609,0.542,4.41077810188189e-107,"CD8+ Cytotoxic T","MYL12B"
233,"LY86",1.83523112167917e-111,-3.73162970633585,0.005,0.052,6.00817964615326e-107,"CD8+ Cytotoxic T","LY86"
234,"F2R",1.29866071720478e-110,2.20136330621074,0.03,0.007,4.25155545598502e-106,"CD8+ Cytotoxic T","F2R"
235,"CAPG",1.43735104258024e-109,-2.17732821440525,0.021,0.078,4.70559984319921e-105,"CD8+ Cytotoxic T","CAPG"
237,"IL2RG",2.85597378186739e-107,0.467238996998484,0.489,0.407,9.34988696707747e-103,"CD8+ Cytotoxic T","IL2RG"
238,"EFHD2",5.03384629687094e-107,0.883488995584809,0.122,0.064,1.64798060066961e-102,"CD8+ Cytotoxic T","EFHD2"
239,"PSME1",6.67405166796609e-106,0.355727918146539,0.642,0.577,2.18495103505874e-101,"CD8+ Cytotoxic T","PSME1"
240,"S100A8",1.50746437702941e-105,-4.70920452156629,0.007,0.054,4.93513687751889e-101,"CD8+ Cytotoxic T","S100A8"
241,"RPL36A",1.67979304932462e-105,-0.307309046083605,0.668,0.757,5.49930648487894e-101,"CD8+ Cytotoxic T","RPL36A"
242,"STOM",2.10676612491968e-105,1.32890745193542,0.069,0.028,6.89713093976206e-101,"CD8+ Cytotoxic T","STOM"
243,"CORO1B",2.63149161930932e-105,-0.981438162731589,0.088,0.171,8.61497726329485e-101,"CD8+ Cytotoxic T","CORO1B"
244,"TRABD2A",2.51570482488369e-104,-1.85123674328643,0.022,0.079,8.23591445570423e-100,"CD8+ Cytotoxic T","TRABD2A"
245,"SYTL2",7.0706953908601e-103,2.06723825606895,0.033,0.008,2.31480425705978e-98,"CD8+ Cytotoxic T","SYTL2"
